,Brand,Transmission,Fuel,Kms,Price,year
3747,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3748,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
3749,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3750,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3751,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
3752,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3753,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
3754,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3755,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3756,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
3757,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3758,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
3759,2015 Audi A6,Automatic,Diesel,"38,870 km","19,33,399",2015
3760,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
3761,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
3762,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
3763,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3764,2014 Maruti Ritz,Manual,Diesel,"70,124 km","2,82,699",2014
3765,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3766,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
3767,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
3768,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
