,Brand,Transmission,Fuel,Kms,Price,year
3493,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
3494,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3495,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3496,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3497,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3498,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
3499,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3500,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
3501,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3502,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3503,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3504,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3505,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
3506,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3507,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3508,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
3509,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3510,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3511,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
3512,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3513,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
3514,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3515,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3516,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
3517,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3518,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
3519,2015 Audi A6,Automatic,Diesel,"38,870 km","19,33,399",2015
3520,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
3521,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
3522,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
3523,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3524,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
3525,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3526,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
3527,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
3528,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3529,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3530,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3531,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
3532,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
3533,2017 Maruti Vitara Brezza,Manual,Diesel,"81,726 km","7,19,299",2017
3534,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3535,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
3536,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
3537,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
3538,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
3539,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
3540,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3541,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
3542,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3543,2018 Maruti Vitara Brezza,Manual,Diesel,"60,395 km","6,81,899",2018
3544,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3545,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3546,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3547,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3548,2015 Maruti Swift,Manual,Diesel,"89,196 km","4,06,599",2015
3549,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
3550,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3551,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3552,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3553,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
3554,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3555,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3556,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3557,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3558,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
3559,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3560,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
3561,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3562,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3563,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3564,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3565,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3566,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3567,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3568,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
3569,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3570,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3571,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
3572,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3573,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
3574,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3575,2017 Maruti Swift,Manual,Diesel,"52,121 km","5,73,799",2017
3576,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
3577,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3578,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
